Proyecto,Sección de docSPACE,Status,Valor,notas de mejora
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Nombre de proyecto,Completa,14.28571428571429,Se podría hacer más visible
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Descripción de proyecto,Incompleta,0,Hay poca información pero no es visible
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Trazas del proceso de prototipado ,Completa,14.28571428571429,Se Podría Hacer Más Visible
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,El prototipo y/o partes de él,Completa,14.28571428571429,"No se distingue qué es el prototipo, solo se ve una forma hecha de carton"
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Gente de los Condo: Exploración del espacio común de los Condominios Constitución,QR o enlace a la wiki,Incompleta,0,
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Nombre de proyecto,Completa,14.28571428571429,
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Descripción de proyecto,Completa,14.28571428571429,Se puede complementar
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Trazas del proceso de prototipado ,Incompleta,0,
"Leyendas del Noreste: comunidad de creación de juegos de rol
",El prototipo y/o partes de él,Completa,14.28571428571429,Casi no es visible
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Fotografías del prototipo a lo largo del proceso y en su estado actual,Incompleta,0,
"Leyendas del Noreste: comunidad de creación de juegos de rol
",Fotografías de las personas colaboradoras en el proyecto o comunidad,Incompleta,0,
"Leyendas del Noreste: comunidad de creación de juegos de rol
",QR o enlace a la wiki,Completa,14.28571428571429,
HEN: una app para todxs,Nombre de proyecto,Completa,14.28571428571429,
HEN: una app para todxs,Descripción de proyecto,Completa,14.28571428571429,
HEN: una app para todxs,Trazas del proceso de prototipado ,Completa,14.28571428571429,
HEN: una app para todxs,El prototipo y/o partes de él,Completa,14.28571428571429,Mostrar el primer prototipo
HEN: una app para todxs,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
HEN: una app para todxs,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
HEN: una app para todxs,QR o enlace a la wiki,Incompleta,0,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Nombre de proyecto,Incompleta,0,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Descripción de proyecto,Completa,14.28571428571429,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Trazas del proceso de prototipado ,Completa,14.28571428571429,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,El prototipo y/o partes de él,Completa,14.28571428571429,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Fotografías del prototipo a lo largo del proceso y en su estado actual,Completa,14.28571428571429,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,Fotografías de las personas colaboradoras en el proyecto o comunidad,Completa,14.28571428571429,
Autoconstructores: Saberes y prácticas para la autonomía constructiva,QR o enlace a la wiki,Completa,14.28571428571429,
